month,total,pakistan_west,china_east,us_trade,gulf_energy,generation
199001,419265,0.08920372556736193,0.0,0.0,0.003339176892895901,1.0
199002,384177,0.02967382222256928,0.0,0.002082373489303108,0.0015617801169773308,1.0
199003,408073,0.00931205936192789,0.005146138068433834,0.0,0.004410975487229001,1.0
199004,378321,0.025375276550865536,0.0021146063792387942,0.0,0.0,1.0
199005,417064,0.026614620298083747,0.0019181708322943242,0.0,0.001438628124220743,1.0
199006,397143,0.024676250116456792,0.0020143877646087178,0.0,0.0022661862351848073,1.0
199007,416251,0.02858851990745968,0.0,0.0,0.0,1.0
199008,545925,0.025827723588405,0.013188624811100426,0.0,0.011906397398910107,1.0
199009,442157,0.00429711618271338,0.0020354760865484434,0.0,0.026235025115513268,1.0
199010,444503,0.0033745554023257435,0.004049466482790892,0.0,0.0263215321381408,1.0
199011,474386,0.018761093286901384,0.0,0.0,0.0037943784175755607,1.0
199012,402088,0.007212351525039295,0.002984421320705915,0.0,0.011191579952647182,1.0
199101,610958,0.0021278058393539327,0.001800451094837943,0.0,0.024224251094183233,1.0
199102,624234,0.0012815706930413915,0.0032039267326034785,0.0,0.0719281551469481,1.0
199103,567759,0.01039173311211271,0.0014090485575746047,0.0,0.011624650599990488,1.0
199104,556143,0.01744155729731382,0.0,0.0005394296071334171,0.005394296071334171,1.0
199105,660567,0.05858603290809259,0.0037846274488431905,0.0,0.007569254897686381,1.0
199106,617682,0.009228049384634812,0.0022665384453489012,0.0,0.0,1.0
199107,663506,0.025320042320642167,0.0,0.0,0.005425723354423321,1.0
199108,651664,0.025780156645142282,0.0,0.0,0.0003069066267278843,1.0
199109,637125,0.009417304296645085,0.0,0.0009417304296645085,0.0009417304296645085,1.0
199110,709138,0.005499634767844905,0.0016921953131830477,0.0,0.0,1.0
199111,732800,0.00941593886462882,0.0,0.0,0.006823144104803493,1.0
199112,650106,0.005845200628820531,0.023226981446102635,0.0,0.006460484905538482,1.0
199201,563406,0.003904821744887346,0.0,0.0,0.0,1.0
199202,286203,0.023759359615377895,0.0,0.0,0.0,1.0
199203,377658,0.002383108526762309,0.0,0.0,0.0,1.0
199204,508261,0.00865696954910961,0.003934986158686186,0.0,0.0007869972317372374,1.0
199205,495636,0.0185620092164411,0.021386662792856045,0.008070438789756999,0.004236980364622425,1.0
199206,484568,0.003301910155024682,0.0,0.0,0.0010318469234452132,1.0
199207,376778,0.011943372489901214,0.0,0.0,0.00902388143681425,1.0
199208,366364,0.05104213296066207,0.00709676714961077,0.0,0.0,1.0
