date,n_global,n_india,n_verbal_conflict,n_material_conflict,n_protest,goldstein_mean,mentions_sum
2017-12-04,174284,8518,1257,1036,129,0.586,85726
2017-12-05,206899,8698,1436,1264,161,0.202,81938
2017-12-06,211467,8664,1301,1127,102,0.553,77430
2017-12-07,219616,8403,1415,1061,117,0.42,83469
2017-12-08,205533,9049,1574,1395,200,0.108,82070
2017-12-09,121752,6962,1177,949,151,0.157,61483
2017-12-10,109288,6017,1030,794,112,0.316,57534
2017-12-11,166467,8576,1421,1238,148,0.269,70966
2017-12-12,189150,8389,1415,1140,110,0.322,75115
2017-12-13,198261,8669,1449,1154,129,0.413,83886
2017-12-14,190394,8673,1283,1419,147,0.048,80473
2017-12-15,179194,7777,1251,964,159,0.548,69169
2017-12-16,108845,6229,1014,986,109,0.179,60001
2017-12-17,98325,6112,1045,1026,115,-0.04,51946
2017-12-18,155814,8423,1388,1077,138,0.398,79692
2017-12-19,181380,8545,1360,1016,99,0.567,80722
2017-12-20,182187,7935,1219,1161,110,0.455,69737
2017-12-21,183171,8184,1369,913,117,0.76,76353
2017-12-22,165019,7998,1269,1002,130,0.612,74751
2017-12-23,104373,6878,1045,1072,120,0.264,68015
2017-12-24,87366,5534,758,718,69,0.525,48522
2017-12-25,82618,5831,818,822,45,0.472,50869
2017-12-26,109343,7220,962,1180,77,0.262,62653
2017-12-27,134988,7348,1296,958,148,0.346,63181
2017-12-28,141392,7384,1294,886,125,0.569,66729
2017-12-29,133245,6320,1000,863,78,0.384,65608
2017-12-30,92923,5740,1010,842,67,0.204,49908
2017-12-31,84997,5189,747,863,86,0.003,55368
2018-01-01,89230,5194,735,843,99,0.218,45256
2018-01-02,130115,7448,1303,1315,242,-0.315,72766
2018-01-03,165118,9407,1763,1726,414,-0.538,85010
2018-01-04,170555,8399,1555,1465,255,-0.38,76577
2018-01-05,163702,7071,1330,1033,166,0.021,65144
2018-01-06,112800,6239,1087,1052,114,-0.056,59329
2018-01-07,90275,5304,871,805,103,0.049,46584
2018-01-08,153991,7346,1056,1169,122,0.185,72218
