date,placebo_cricket,placebo_entertainment
2023-02-28,0.0726,0.0722
2023-03-01,0.0218,0.0777
2023-03-02,0.013,0.0842
2023-03-03,0.0395,0.0903
2023-03-04,0.0628,0.1054
2023-03-05,0.0402,0.149
2023-03-06,0.0545,0.1443
2023-03-07,0.023,0.0973
2023-03-08,0.0819,0.1055
2023-03-09,0.0516,0.1504
2023-03-10,0.0485,0.0831
2023-03-11,0.0326,0.1391
2023-03-12,0.0752,0.1335
2023-03-13,0.0378,0.1757
2023-03-14,0.0316,0.131
2023-03-15,0.0263,0.0852
2023-03-16,0.0373,0.0982
2023-03-17,0.0146,0.0865
2023-03-18,0.0293,0.1399
2023-03-19,0.0294,0.1031
2023-03-20,0.0119,0.1091
2023-03-21,0.0149,0.0945
2023-03-22,0.0113,0.0879
2023-03-24,0.0349,0.0793
2023-03-25,0.0504,0.1487
2023-03-26,0.0643,0.1485
2023-03-27,0.0385,0.1224
2023-03-28,0.0155,0.1115
2023-03-29,0.0394,0.1416
2023-03-30,0.0439,0.1347
2023-03-31,0.0381,0.1608
2023-04-01,0.0597,0.1605
2023-04-02,0.048,0.1884
2023-04-03,0.0475,0.1525
2023-04-04,0.0243,0.1525
2023-04-05,0.0217,0.1539
2023-04-06,0.033,0.1375
2023-04-07,0.0302,0.1342
2023-04-08,0.0452,0.161
2023-04-09,0.0254,0.2002
2023-04-10,0.0211,0.1369
2023-04-11,0.0342,0.1226
2023-04-12,0.0254,0.1407
2023-04-13,0.0309,0.1162
2023-04-14,0.0233,0.1047
2023-04-15,0.0492,0.1697
2023-04-16,0.0605,0.1977
2023-04-17,0.0358,0.1222
2023-04-18,0.0209,0.1157
2023-04-19,0.0315,0.0976
2023-04-20,0.0357,0.1053
2023-04-21,0.0272,0.1114
2023-04-22,0.0264,0.1126
2023-04-23,0.0448,0.0966
2023-04-24,0.0235,0.0954
2023-04-25,0.0101,0.084
2023-04-26,0.0138,0.0843
2023-04-27,0.0119,0.1207
2023-04-28,0.0137,0.0963
2023-04-29,0.0215,0.1112
2023-04-30,0.0466,0.151
2023-05-01,0.0235,0.1201
2023-05-02,0.0354,0.1197
2023-05-03,0.0293,0.0801
2023-05-04,0.0234,0.1319
2023-05-05,0.0279,0.1036
2023-05-06,0.0505,0.1389
2023-05-07,0.033,0.132
2023-05-08,0.0232,0.0997
2023-05-09,0.0177,0.1034
2023-05-10,0.0455,0.0935
2023-05-11,0.0405,0.0883
2023-05-12,0.0248,0.0941
2023-05-13,0.0469,0.1634
2023-05-14,0.05,0.1603
2023-05-15,0.0356,0.0976
2023-05-16,0.0192,0.0817
2023-05-17,0.0247,0.0867
2023-05-18,0.0289,0.0858
2023-05-19,0.0441,0.0893
2023-05-20,0.042,0.1835
2023-05-21,0.0567,0.0899
2023-05-22,0.0281,0.0942
2023-05-23,0.0196,0.1103
2023-05-24,0.0292,0.091
2023-05-25,0.0249,0.0891
2023-05-26,0.0304,0.0945
2023-05-27,0.0456,0.1189
2023-05-28,0.022,0.1471
2023-05-29,0.0353,0.1031
2023-05-30,0.0399,0.0983
2023-05-31,0.0305,0.0662
2023-06-01,0.0227,0.0686
2023-06-02,0.0179,0.0827
2023-06-03,0.0446,0.1041
2023-06-04,0.0333,0.1009
2023-06-05,0.0303,0.1019
2023-06-06,0.0254,0.0773
2023-06-07,0.015,0.0931
2023-06-08,0.0182,0.0806
2023-06-09,0.0141,0.0937
2023-06-10,0.0307,0.1045
2023-06-11,0.0597,0.0987
2023-06-12,0.0224,0.0874
2023-06-13,0.0206,0.0623
2023-06-14,0.0221,0.0697
2023-06-15,0.0251,0.0766
2023-06-16,0.0178,0.0933
2023-06-17,0.0249,0.1245
2023-06-18,0.0332,0.118
2023-06-19,0.0171,0.0972
2023-06-20,0.0073,0.1169
2023-06-21,0.0115,0.0762
2023-06-22,0.0083,0.0828
2023-06-23,0.0128,0.0925
2023-06-24,0.0325,0.1355
2023-06-25,0.0208,0.1393
2023-06-26,0.0118,0.0868
2023-06-27,0.0302,0.0873
2023-06-28,0.0192,0.0749
2023-06-29,0.0144,0.0795
2023-06-30,0.0109,0.0794
2023-07-01,0.0256,0.0968
2023-07-02,0.0387,0.1426
2023-07-03,0.0315,0.1077
2023-07-04,0.0235,0.1269
2023-07-05,0.042,0.1002
2023-07-06,0.0136,0.0856
2023-07-07,0.033,0.0924
2023-07-08,0.0611,0.1295
2023-07-09,0.0199,0.0883
2023-07-10,0.0189,0.0716
2023-07-11,0.0183,0.0763
2023-07-12,0.0253,0.0855
2023-07-13,0.0253,0.1206
2023-07-14,0.0276,0.0883
2023-07-15,0.0439,0.1017
2023-07-16,0.0185,0.1189
2023-07-17,0.0207,0.0852
2023-07-18,0.0135,0.0944
2023-07-19,0.0124,0.0848
2023-07-20,0.0303,0.0999
2023-07-21,0.0202,0.1103
2023-07-22,0.026,0.1626
2023-07-23,0.0395,0.2592
2023-07-24,0.0268,0.2035
2023-07-25,0.0259,0.1595
2023-07-26,0.0185,0.1527
2023-07-27,0.0223,0.117
2023-07-28,0.0186,0.1147
2023-07-29,0.0192,0.1886
2023-07-30,0.0273,0.1694
2023-07-31,0.0141,0.204
2023-08-01,0.0193,0.0952
2023-08-02,0.0153,0.1163
2023-08-03,0.014,0.1305
2023-08-04,0.0312,0.1372
2023-08-05,0.0144,0.1998
2023-08-06,0.0257,0.1799
2023-08-07,0.0379,0.1459
2023-08-08,0.0094,0.1146
2023-08-09,0.011,0.1389
2023-08-10,0.0181,0.1486
2023-08-11,0.02,0.2036
2023-08-12,0.0154,0.1943
2023-08-13,0.0165,0.1932
2023-08-14,0.0183,0.1795
2023-08-15,0.0232,0.1355
2023-08-16,0.0102,0.162
2023-08-17,0.0255,0.1155
2023-08-18,0.0122,0.1686
2023-08-19,0.0256,0.2425
