channel,query_month,rank,analog_month,distance,n_features_used,features_used,features_excluded_as_null
pakistan_west,1983-08,4,1988-10,0.094194,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-08,5,1982-03,0.097642,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-09,1,2015-04,0.055455,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-09,2,1988-10,0.083533,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-09,3,1992-10,0.099332,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-09,4,2015-01,0.100673,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-09,5,1981-04,0.103514,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-10,1,1995-07,0.058182,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-10,2,1981-03,0.099111,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-10,3,1995-08,0.147269,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-10,4,1993-11,0.163694,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-10,5,1988-02,0.164097,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-11,1,2015-05,0.047041,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-11,2,2006-06,0.084101,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-11,3,2014-09,0.122006,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-11,4,1994-03,0.138207,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-11,5,1991-02,0.152286,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-12,1,1981-07,0.324293,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-12,2,1994-03,0.327623,3,level_pctl_10y|change_12m_raw_share|volatility_12m_raw_share,
pakistan_west,1983-12,3,2015-05,0.333728,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-12,4,2015-12,0.391223,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1983-12,5,1981-08,0.416352,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1984-01,1,1982-01,0.098946,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1984-01,2,2019-02,0.16644,3,level_pctl_10y|change_12m_raw_share|volatility_12m_raw_share,
